Locality,h10,h20,h1020
South Melbourne,960000.0,1580000.0,620000.0
Mill Park,420000.0,690000.0,270000.0
Epping,380000.0,576500.0,196500.0
Whittlesea,345000.0,610000.0,265000.0
Carlton,900000.0,1415000.0,515000.0
Parkville,1335000.0,1725000.0,390000.0
Keilor,603000.0,880000.0,277000.0
Berwick,450000.0,701500.0,251500.0
Pakenham,335000.0,526000.0,191000.0
St Kilda,930000.0,1296500.0,366500.0
