Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Melbourne,412,430,440,441,443,449,459,476,495,507,497
Eastern,354,369,376,382,389,400,411,424,441,452,453
Northern,328,341,349,350,355,362,372,387,405,416,416
Southern,312,324,331,338,347,356,370,384,399,409,412
Western ,342,359,367,370,377,387,399,414,429,441,446
